id;verified;followers_count;friends_count;description;profile_image_url;account_type
15729207;True;33334;385;1;1;human
114557496;True;4577055;1;1;1;human
19923515;True;2015401;14905;1;1;bot
50856512;False;223;624;1;1;bot
1377305161;False;492;856;1;1;human
586;True;1662199;924;1;1;human
30147163;False;3;0;0;1;bot
483656289;False;168610;85;0;1;human
848036460;False;152;659;1;1;human
336069232;False;56;0;1;1;human
128799124;True;1151962;2597;1;1;human
114557557;True;73307;2850;1;1;human
111673973;False;96;267;1;1;human
848822905;True;731524;302;1;1;human
265814650;False;8;265;1;1;bot
133694084;False;7;330;1;1;bot
1658061462;False;792;290;0;1;human
60031646;False;306;446;1;1;human
111936162;True;27613;104;1;1;human
2768241314;False;71;312;1;1;human
703857318;False;6;43;0;1;bot
632029895;False;28;40;0;1;bot
1587544788;False;43;0;0;1;bot
243794651;False;49;87;0;1;bot
788792041;True;173010;344;1;1;human
1692140268;False;96;145;1;1;human
15467245;False;16;12;1;1;bot
721683182;False;271;346;1;1;human
3282830066;False;310;420;1;1;human
20447988;True;210561;6801;1;1;human
94896901;False;1835;2570;1;1;human
88081160;False;121;101;1;1;human
63701775;True;6154982;334;1;1;human
30933781;False;31;85;1;1;human
889213107112996864;False;24;81;0;1;human
276562720;False;0;0;0;1;bot
256115497;False;1672;389;1;1;human
4848354100;False;31;142;1;1;human
2318140218;False;512;355;1;1;human
2581857086;True;57038;613;1;1;human
1739064128;False;96;383;1;1;human
47186755;False;1032551;0;0;1;human
861135093213138944;False;40;592;1;1;bot
20710218;True;1630092;4946;1;1;bot
20972371;False;272796;95;1;1;bot
1681392474;False;18;0;0;1;human
795083617;False;384;226;1;1;human
221512549;False;29739;545;1;1;human
18088810;True;1318800;20;0;1;human
29361001;False;48;104;1;1;human
939262832;True;3508;150;0;1;human
3101950833;False;620;870;1;1;human
386139005;False;1599;544;1;1;human
220464007;False;1;497;0;1;human
792462217;False;143;381;1;1;human
477365128;True;18136;3;1;1;human
39846828;False;3;44;0;1;bot
1849164720;True;1595;1249;1;1;human
91227068;True;20126;264;1;1;human
34866114;True;2605;628;1;1;human
1021313990;False;426;583;0;1;human
41681878;False;79;31;1;1;bot
34079698;False;20;135;1;1;bot
409207765;False;13;0;0;1;bot
24642526;False;606;106;1;1;human
1034115201979826178;False;74;40;0;1;human
24380395;False;279;459;1;1;human
46662639;False;221;121;0;1;human
172753966;False;8;0;1;1;bot
18351153;True;3652;1131;1;1;human
863765552;False;311;323;1;1;bot
856949808;False;32;168;0;1;bot
495453239;False;5;0;1;1;bot
800588862;False;2;42;0;1;bot
120587348;False;23;69;1;1;bot
307233876;False;83404;91815;1;1;bot
342099030;False;48;126;0;1;bot
5768282;False;198654;1114;1;1;human
448529505;False;797;844;1;1;bot
1006905571994472448;False;130;215;1;1;human
202900592;False;25;0;1;1;bot
38536306;True;2313068;647;1;1;human
130286723;True;24444;1573;1;1;human
897589708162830337;False;720;435;1;1;human
2362967176;False;49;247;1;1;bot
171705488;False;28;407;1;1;bot
78120081;True;1492643;84;1;1;human
769650999942340608;False;24;412;1;1;bot
78644388;True;837019;25;1;1;human
765838109976190976;False;10;36;1;1;bot
1320158370;False;23247;18817;1;1;human
833356976;False;1033;890;1;1;human
29885619;False;18;27;0;1;human
877343511858692096;False;0;0;1;1;bot
1028654280;False;104;278;1;1;human
970982604;False;350;255;0;1;human
42730704;False;1032;1573;1;1;human
2961704150;False;707;956;1;1;human
85722328;False;205;516;1;1;human
497288416;False;4625;1232;1;1;human
403703016;False;1147;33;1;1;bot
320603385;True;1593317;79;1;1;human
880018682;True;178326;8184;1;1;human
29099266;False;111;282;0;1;human
400557314;False;429;1609;1;1;human
4328785158;False;37;29;1;1;bot
877379085214679040;False;1;0;0;1;bot
2622731;False;3652;4984;1;1;human
331613467;False;75;285;0;1;human
957089052;False;13;37;1;1;bot
2984510759;False;240;189;0;1;bot
439878961;False;744733;10;0;1;human
27526457;True;148171;3007;1;1;human
896533819;False;18800;7283;1;1;human
350487871;False;48;303;1;1;human
123209023;False;41;341;1;1;bot
45090120;True;1155477;557;1;1;human
2444756300;False;194;339;1;1;human
14157134;True;1119498;1439;1;1;human
14681449;False;19985;1098;1;1;human
969324483185119232;False;8;91;1;1;human
982628478284595200;False;336;127;1;1;human
839237419815796736;False;467;320;1;1;human
321389968;False;11630;11668;1;1;human
22021524;True;2126;2067;1;1;human
304088468;False;424;0;1;1;bot
480249240;False;52874;23130;1;1;human
765659108854857729;False;15;28;1;1;bot
50595242;True;232638;4044;1;1;human
16254381;True;226230;1500;1;1;human
837027265;False;372;277;0;1;human
1126958532;False;109;0;1;1;bot
38536646;True;3800;1017;1;1;human
215745990;False;264;1137;0;1;human
2334131662;False;185;214;0;1;bot
74712538;True;4072365;16;1;1;human
2727609826;False;1477;3773;1;1;human
179832300;False;6;198;1;1;bot
2425882104;True;53547;258;1;1;human
3077047801;False;171;270;1;1;bot
1125910016;False;5140;245;1;1;human
171968009;True;449106;1111;1;1;human
301729291;False;1290;862;1;1;human
74450446;False;292;633;1;1;human
1604847120;False;748;830;1;1;human
362284562;True;178618;5021;1;1;human
1719404058;False;64;70;0;1;bot
2444756510;False;338;986;1;1;human
568854046;False;3;0;0;1;bot
867436081;False;236;1109;1;1;bot
3164603961;False;11;2055;0;1;bot
772504122608214016;False;0;0;1;1;human
318768709;False;117;193;1;1;human
835368880277159936;False;0;37;1;1;bot
1733822028;False;438;357;0;1;human
328205906;False;284;358;1;1;bot
890678446698975233;False;1;0;0;1;human
217319002;False;434;326;1;1;human
4903929447;False;200;314;1;1;human
894666092710383618;False;0;0;0;1;human
1661470322;False;15;49;0;1;bot
28313220;False;344912;894;1;1;human
214697607;False;156882;33;1;1;human
242484876;False;82;150;1;1;bot
3483877814;False;26;7;0;1;bot
18089641;True;9175;4701;1;1;human
316147373;False;7636;3732;1;1;human
969672378;False;18;233;1;1;bot
293340865;False;40;99;0;1;bot
476317382;False;162;227;0;1;human
48236235;False;182;388;1;1;human
349177562;False;349;350;1;1;human
1069811420;True;4223;1204;1;1;human
35391199;False;60;208;1;1;human
8652512;False;72;224;1;1;human
305399525;False;2631;2316;1;1;human
217319143;False;1981;1491;1;1;human
878028362589118464;False;223;2;1;1;bot
2444232436;False;21;0;1;1;bot
453510918;False;888158;729;1;1;bot
150996744;False;714;747;1;1;bot
2465466121;False;179;801;1;1;human
885524240;False;25;0;0;1;bot
888145681;False;163;360;1;1;human
272893712;False;16;0;0;1;human
452462357;False;6;4;0;1;bot
9963292;False;460;505;1;1;human
1680869150;False;57;1149;1;1;bot
15730467;True;227315;848;1;1;human
772384385609920512;False;0;0;1;1;human
772179253676896256;False;0;0;1;1;human
268961586;False;42;90;0;1;human
387450674;False;60205;7262;1;1;human
877353395538935808;False;5;0;1;1;bot
238028607;False;1038871;242;1;1;human
241698625;False;54;302;0;1;bot
940050242;False;33;801;1;1;bot
917505878;True;880564;220;1;1;human
803412430193770496;False;6;32;1;1;bot
807229152612925440;False;27;0;1;1;human
242747238;False;117343;19119;1;1;human
34867057;True;1546728;4477;1;1;human
495716215;False;217;310;1;1;bot
36439939;True;133385;27616;1;1;human
52430724;False;233897;270;1;1;human
73140135;False;60;168;1;1;human
125568955;False;20;922;0;1;bot
219416510;False;86;414;1;1;bot
225445834;True;1387185;2347;1;1;human
2932344784;True;1104391;33;1;1;human
50595800;False;475;329;1;1;bot
856426471;False;220;797;1;1;human
19924969;False;13286;364;1;1;human
2301364213;False;10;0;1;1;bot
599001082;True;640139;1395;1;1;human
147589125;False;1480816;21186;1;1;human
796252778066743296;False;11;0;1;1;bot
778553286022533120;False;0;0;1;1;human
2196506641;False;2173;322;1;1;human
883951634;False;1;0;0;1;bot
2563770386;False;135;0;1;1;human
161482772;True;101191;570;1;1;human
1602488347;False;729;663;1;1;human
178260000;False;6;0;0;1;bot
614467617;False;454;57;1;1;human
372508707;False;298;0;1;1;bot
3236431915;False;189;151;1;1;human
